Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Resettlement_ISO,Country_of_Resettlement,Total_departures_persons
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",27
2003,IRQ,"Iraq",JOR,"Jordan",DEU,"Germany",2
2003,IRQ,"Iraq",All others,"All others",AUS,"Australia",148
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",2
2003,IRQ,"Iraq",All others,"All others",SWE,"Sweden",92
2003,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",193
2003,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",19
2003,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",1
2003,IRQ,"Iraq",All others,"All others",CAN,"Canada",152
2003,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",62
2003,IRQ,"Iraq",All others,"All others",USA,"United States of America",43
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CHE,"Switzerland",1
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DNK,"Denmark",8
2003,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",1
2003,IRQ,"Iraq",LBY,"Libya",DNK,"Denmark",2
2003,IRQ,"Iraq",EGY,"Egypt",AUS,"Australia",1
2003,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5
2004,SYR,"Syrian Arab Rep.",SAU,"Saudi Arabia",NOR,"Norway",1
2004,SYR,"Syrian Arab Rep.",EGY,"Egypt",CAN,"Canada",5
2004,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",10
2004,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",4
2004,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",6
2004,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2004,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2004,IRQ,"Iraq",LBN,"Lebanon",NZL,"New Zealand",1
2004,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",54
2004,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",15
2004,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",19
2004,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",208
2004,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",58
2004,IRQ,"Iraq",YEM,"Yemen",NLD,"Netherlands",3
2004,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",10
2005,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",109
2005,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",117
2005,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",36
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",25
2005,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",18
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",SWE,"Sweden",4
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",52
2005,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2005,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",9
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",3
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",32
2005,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",29
2005,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",21
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",NLD,"Netherlands",7
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2005,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",133
2005,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",8
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",AUS,"Australia",4
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DNK,"Denmark",2
2006,IRQ,"Iraq",LBN,"Lebanon",NOR,"Norway",4
2006,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",39
2006,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",17
2006,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",4
2006,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",82
2006,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",70
2006,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NLD,"Netherlands",3
2006,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",49
2006,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",2
2006,IRQ,"Iraq",JOR,"Jordan",CHE,"Switzerland",5
2006,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",36
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",32
2006,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2006,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",USA,"United States of America",27
2006,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",1
2006,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",14
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",9
2006,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",18
2006,SYR,"Syrian Arab Rep.",IRQ,"Iraq",BEL,"Belgium",1
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",19
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2006,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",CAN,"Canada",4
2007,IRQ,"Iraq",ARE,"United Arab Emirates",DNK,"Denmark",4
2007,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",3
2007,IRQ,"Iraq",YEM,"Yemen",SWE,"Sweden",4
2007,IRQ,"Iraq",LBN,"Lebanon",NOR,"Norway",1
2007,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",5
2007,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",30
2007,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",32
2007,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",7
2007,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",186
2007,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",25
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",16
2007,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",165
2007,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",291
2007,IRQ,"Iraq",LBY,"Libya",CAN,"Canada",4
2007,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",1044
2007,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",1
2007,IRQ,"Iraq",EGY,"Egypt",NLD,"Netherlands",2
2007,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",86
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",267
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2007,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",4
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",25
2007,IRQ,"Iraq",JOR,"Jordan",BRA,"Brazil",4
2007,IRQ,"Iraq",JOR,"Jordan",ESP,"Spain",3
2007,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",USA,"United States of America",21
2007,IRQ,"Iraq",EGY,"Egypt",NOR,"Norway",2
2007,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",3
2007,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",17
2007,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",20
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",67
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",100
2007,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",40
2007,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",1
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",87
2007,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",4
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",246
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",155
2008,IRQ,"Iraq",LBY,"Libya",IRL,"Ireland",6
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DNK,"Denmark",5
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FRA,"France",82
2008,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",78
2008,IRQ,"Iraq",ARE,"United Arab Emirates",DNK,"Denmark",3
2008,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",41
2008,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",17
2008,IRQ,"Iraq",JOR,"Jordan",FRA,"France",127
2008,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",5
2008,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",90
2008,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",318
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",PRT,"Portugal",5
2008,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",4
2008,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",1116
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",135
2008,SYR,"Syrian Arab Rep.",JOR,"Jordan",SWE,"Sweden",5
2008,IRQ,"Iraq",LBN,"Lebanon",DNK,"Denmark",17
2008,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",256
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",75
2008,IRQ,"Iraq",JOR,"Jordan",CHE,"Switzerland",3
2008,IRQ,"Iraq",MAR,"Morocco",NLD,"Netherlands",7
2008,IRQ,"Iraq",YEM,"Yemen",USA,"United States of America",33
2008,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",16
2008,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",41
2008,IRQ,"Iraq",YEM,"Yemen",FIN,"Finland",1
2008,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",5513
2008,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",79
2008,IRQ,"Iraq",OMN,"Oman",DNK,"Denmark",3
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",5545
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",16
2008,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",17
2008,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",5
2008,IRQ,"Iraq",LBN,"Lebanon",FRA,"France",34
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",140
2008,IRQ,"Iraq",JOR,"Jordan",ESP,"Spain",1
2008,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",USA,"United States of America",2
2008,IRQ,"Iraq",EGY,"Egypt",NOR,"Norway",5
2008,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",20
2008,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",288
2008,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",56
2008,SYR,"Syrian Arab Rep.",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",8
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",567
2008,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",17
2008,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",2
2009,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",571
2009,IRQ,"Iraq",YEM,"Yemen",NOR,"Norway",6
2009,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",64
2009,IRQ,"Iraq",JOR,"Jordan",IRL,"Ireland",4
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",945
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",83
2009,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",3
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",511
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",375
2009,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",53
2009,IRQ,"Iraq",LBY,"Libya",SWE,"Sweden",2
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DNK,"Denmark",10
2009,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",1
2009,IRQ,"Iraq",YEM,"Yemen",SWE,"Sweden",5
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FRA,"France",12
2009,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",5
2009,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",37
2009,IRQ,"Iraq",ARE,"United Arab Emirates",CAN,"Canada",1
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2009,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",83
2009,IRQ,"Iraq",JOR,"Jordan",FRA,"France",6
2009,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",5
2009,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",158
2009,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",352
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",BEL,"Belgium",37
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",IRL,"Ireland",3
2009,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",8
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",14
2009,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",2244
2009,IRQ,"Iraq",KWT,"Kuwait",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DEU,"Germany",1725
2009,IRQ,"Iraq",LBN,"Lebanon",DNK,"Denmark",8
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",USA,"United States of America",7
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",ITA,"Italy",124
2009,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",302
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",266
2009,IRQ,"Iraq",JOR,"Jordan",LUX,"Luxembourg",3
2009,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",3
2009,IRQ,"Iraq",JOR,"Jordan",BEL,"Belgium",5
2009,IRQ,"Iraq",YEM,"Yemen",USA,"United States of America",111
2009,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",3
2009,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",141
2009,IRQ,"Iraq",EGY,"Egypt",NLD,"Netherlands",2
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",LUX,"Luxembourg",25
2009,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",3729
2009,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",3
2009,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",273
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",5769
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",102
2009,IRQ,"Iraq",TUN,"Tunisia",FRA,"France",5
2009,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",1
2009,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",18
2009,IRQ,"Iraq",JOR,"Jordan",DEU,"Germany",335
2009,IRQ,"Iraq",YEM,"Yemen",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",CAN,"Canada",1
2009,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",182
2009,IRQ,"Iraq",ISR,"Israel",USA,"United States of America",4
2009,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",DEU,"Germany",1
2009,IRQ,"Iraq",EGY,"Egypt",NOR,"Norway",11
2009,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",15
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",FIN,"Finland",1
2010,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",33
2010,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",7
2010,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",221
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",42
2010,IRQ,"Iraq",ARE,"United Arab Emirates",AUS,"Australia",3
2010,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",93
2010,SYR,"Syrian Arab Rep.",IRQ,"Iraq",USA,"United States of America",1
2010,IRQ,"Iraq",JOR,"Jordan",IRL,"Ireland",6
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",1109
2010,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",1
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",IRL,"Ireland",1
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",124
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",89
2010,IRQ,"Iraq",LBN,"Lebanon",NOR,"Norway",7
2010,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",14
2010,IRQ,"Iraq",LBY,"Libya",SWE,"Sweden",4
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",NOR,"Norway",1
2010,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",78
2010,IRQ,"Iraq",YEM,"Yemen",SWE,"Sweden",5
2010,IRQ,"Iraq",BHR,"Bahrain",USA,"United States of America",36
2010,IRQ,"Iraq",EGY,"Egypt",SWE,"Sweden",3
2010,SYR,"Syrian Arab Rep.",EGY,"Egypt",USA,"United States of America",1
2010,IRQ,"Iraq",LBN,"Lebanon",DNK,"Denmark",1
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",PRT,"Portugal",13
2010,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",103
2010,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",337
2010,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",57
2010,IRQ,"Iraq",JOR,"Jordan",FRA,"France",10
2010,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",1
2010,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",116
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",IRL,"Ireland",10
2010,SYR,"Syrian Arab Rep.",IRQ,"Iraq",SWE,"Sweden",10
2010,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",5
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",5
2010,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",1610
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DEU,"Germany",329
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",USA,"United States of America",16
2010,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",276
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",128
2010,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2010,IRQ,"Iraq",YEM,"Yemen",USA,"United States of America",35
2010,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",25
2010,IRQ,"Iraq",ARE,"United Arab Emirates",SWE,"Sweden",3
2010,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",23
2010,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",2367
2010,IRQ,"Iraq",LBY,"Libya",CHE,"Switzerland",2
2010,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",232
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",4559
2010,IRQ,"Iraq",JOR,"Jordan",FIN,"Finland",94
2010,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",11
2010,IRQ,"Iraq",JOR,"Jordan",DEU,"Germany",103
2010,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",CAN,"Canada",6
2010,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",5
2011,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",2
2011,IRQ,"Iraq",EGY,"Egypt",AUS,"Australia",2
2011,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",CAN,"Canada",1
2011,IRQ,"Iraq",LBN,"Lebanon",CHE,"Switzerland",14
2011,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",6
2011,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",2
2011,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",1670
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",3
2011,IRQ,"Iraq",ARE,"United Arab Emirates",AUS,"Australia",7
2011,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",173
2011,IRQ,"Iraq",JOR,"Jordan",IRL,"Ireland",6
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",400
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",47
2011,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",1
2011,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",1
2011,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NLD,"Netherlands",1
2011,IRQ,"Iraq",YEM,"Yemen",CAN,"Canada",3
2011,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",66
2011,IRQ,"Iraq",ARE,"United Arab Emirates",CAN,"Canada",1
2011,IRQ,"Iraq",BHR,"Bahrain",USA,"United States of America",17
2011,IRQ,"Iraq",EGY,"Egypt",SWE,"Sweden",1
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",PRT,"Portugal",4
2011,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",18
2011,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",202
2011,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",79
2011,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",49
2011,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",5
2011,IRQ,"Iraq",KWT,"Kuwait",SWE,"Sweden",3
2011,IRQ,"Iraq",JOR,"Jordan",CHE,"Switzerland",7
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",4
2011,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",319
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",80
2011,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",USA,"United States of America",4
2011,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",119
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",163
2011,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2011,IRQ,"Iraq",YEM,"Yemen",USA,"United States of America",20
2011,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",7
2011,IRQ,"Iraq",ARE,"United Arab Emirates",SWE,"Sweden",1
2011,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",727
2011,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",1
2011,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",USA,"United States of America",2
2011,IRQ,"Iraq",JOR,"Jordan",FIN,"Finland",21
2011,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",44
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",1890
2011,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CHE,"Switzerland",9
2012,IRQ,"Iraq",TUN,"Tunisia",USA,"United States of America",132
2012,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",SWE,"Sweden",3
2012,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",18
2012,IRQ,"Iraq",JOR,"Jordan",FIN,"Finland",10
2012,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",169
2012,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",1739
2012,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",7
2012,SYR,"Syrian Arab Rep.",LBN,"Lebanon",USA,"United States of America",18
2012,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",CAN,"Canada",6
2012,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",67
2012,SYR,"Syrian Arab Rep.",LBN,"Lebanon",CAN,"Canada",6
2012,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",43
2012,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",713
2012,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",1
2012,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",108
2012,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",3
2012,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",2
2012,SYR,"Syrian Arab Rep.",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2012,SYR,"Syrian Arab Rep.",TUN,"Tunisia",SWE,"Sweden",4
2012,IRQ,"Iraq",LBN,"Lebanon",FIN,"Finland",1
2012,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",64
2012,IRQ,"Iraq",LBN,"Lebanon",NZL,"New Zealand",94
2012,SYR,"Syrian Arab Rep.",ISR,"Israel",CAN,"Canada",1
2012,IRQ,"Iraq",TUN,"Tunisia",AUS,"Australia",1
2012,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",67
2012,IRQ,"Iraq",TUN,"Tunisia",CAN,"Canada",5
2012,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",189
2012,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",62
2012,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",21
