Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Resettlement_ISO,Country_of_Resettlement,Total_departures_persons
2011,IRQ,"Iraq",TUR,"Turkey",NOR,"Norway",1
2011,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",1
2011,IRQ,"Iraq",UKR,"Ukraine",PRT,"Portugal",1
2011,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",1561
2012,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",FIN,"Finland",3
2012,IRQ,"Iraq",AZE,"Azerbaijan",CAN,"Canada",21
2012,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",117
2012,IRQ,"Iraq",TUR,"Turkey",FRA,"France",1
2012,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",1
2012,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",6
2012,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",1
2012,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2012,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",105
2012,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",2
2012,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",7
2012,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",198
2012,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",1
2012,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",3136
2013,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",2750
2013,SYR,"Syrian Arab Rep.",TUR,"Turkey",DEU,"Germany",2
2013,IRQ,"Iraq",AZE,"Azerbaijan",CAN,"Canada",1
2013,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",364
2013,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",1
2013,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",4
2013,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",3
2013,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",170
2013,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",12
2013,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",1
2013,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",956
2013,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",3
2013,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",16
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",32
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",BEL,"Belgium",25
2014,IRQ,"Iraq",TUR,"Turkey",ROU,"Romania",40
2014,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",4306
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",DEU,"Germany",1
2014,IRQ,"Iraq",TUR,"Turkey",MEX,"Mexico",1
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",NOR,"Norway",153
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",7
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUS,"Australia",27
2014,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",892
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",4
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",DNK,"Denmark",2
2014,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2014,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",1
2014,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",2
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",NLD,"Netherlands",8
2014,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",12
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",FRA,"France",5
2014,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",550
2014,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",20
2015,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",639
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",320
2015,SYR,"Syrian Arab Rep.",BIH,"Bosnia and Herzegovina",CAN,"Canada",10
2015,IRQ,"Iraq",RUS,"Russian Federation",SWE,"Sweden",1
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",126
2015,IRQ,"Iraq",TUR,"Turkey",ROU,"Romania",2
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",BEL,"Belgium",43
2015,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",2725
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",HUN,"Hungary",2
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",LUX,"Luxembourg",49
2015,IRQ,"Iraq",BIH,"Bosnia and Herzegovina",CAN,"Canada",1
2015,IRQ,"Iraq",AZE,"Azerbaijan",CAN,"Canada",1
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",ISL,"Iceland",12
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",90
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",NOR,"Norway",372
2015,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",2
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUS,"Australia",15
2015,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",687
2015,SYR,"Syrian Arab Rep.",UKR,"Ukraine",DNK,"Denmark",1
2015,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",1
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",52
2015,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",16
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",LIE,"Liechtenstein",17
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUT,"Austria",40
2015,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",2
2015,SYR,"Syrian Arab Rep.",TUR,"Turkey",NLD,"Netherlands",3
2015,SYR,"Syrian Arab Rep.",AZE,"Azerbaijan",USA,"United States of America",5
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",PRT,"Portugal",12
2016,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",357
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",EST,"Estonia",11
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",2216
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",308
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",BEL,"Belgium",102
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",DEU,"Germany",1033
2016,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",3786
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",HUN,"Hungary",4
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",LUX,"Luxembourg",52
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",ITA,"Italy",81
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",FIN,"Finland",132
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",LVA,"Latvia",6
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",702
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",NOR,"Norway",313
2016,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",7
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUS,"Australia",69
2016,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",279
2016,IRQ,"Iraq",RUS,"Russian Federation",DNK,"Denmark",1
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",2438
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",ESP,"Spain",57
2016,IRQ,"Iraq",TUR,"Turkey",NZL,"New Zealand",1
2016,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",9
2016,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",1
2016,IRQ,"Iraq",TUR,"Turkey",ITA,"Italy",1
2016,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",USA,"United States of America",4
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",LTU,"Lithuania",25
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",FRA,"France",432
2016,SYR,"Syrian Arab Rep.",TUR,"Turkey",NLD,"Netherlands",450
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",LTU,"Lithuania",58
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",NLD,"Netherlands",2103
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",FRA,"France",766
2017,IRQ,"Iraq",TUR,"Turkey",LUX,"Luxembourg",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",PRT,"Portugal",131
2017,SYR,"Syrian Arab Rep.",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",NOR,"Norway",2
2017,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",219
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",EST,"Estonia",19
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",1055
2017,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",FIN,"Finland",6
2017,IRQ,"Iraq",TUR,"Turkey",CHE,"Switzerland",5
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",456
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",ROU,"Romania",43
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",BEL,"Belgium",715
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",DEU,"Germany",2703
2017,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",1441
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",LUX,"Luxembourg",154
2017,IRQ,"Iraq",GEO,"Georgia",SWE,"Sweden",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",ITA,"Italy",245
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",FIN,"Finland",845
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",LVA,"Latvia",40
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",453
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",NOR,"Norway",530
2017,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",7
2017,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",91
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUS,"Australia",2
2017,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",327
2017,SYR,"Syrian Arab Rep.",UKR,"Ukraine",SWE,"Sweden",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",MLT,"Malta",17
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",742
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",ESP,"Spain",358
2017,SYR,"Syrian Arab Rep.",ARM,"Armenia",FIN,"Finland",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",HRV,"Croatia",40
2017,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",1
2017,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUT,"Austria",214
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",HRV,"Croatia",88
2018,SYR,"Syrian Arab Rep.",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",FIN,"Finland",5
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",LTU,"Lithuania",18
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",NLD,"Netherlands",699
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",FRA,"France",2072
2018,SYR,"Syrian Arab Rep.",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",SWE,"Sweden",1
2018,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",52
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",EST,"Estonia",29
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",12
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",319
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",BEL,"Belgium",336
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",DEU,"Germany",2823
2018,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",19
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",BGR,"Bulgaria",21
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",ITA,"Italy",50
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",FIN,"Finland",361
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",SVN,"Slovenia",34
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",195
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",NOR,"Norway",407
2018,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",6
2018,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",67
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUS,"Australia",31
2018,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",159
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",NZL,"New Zealand",1
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",583
2018,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",1
2018,SYR,"Syrian Arab Rep.",TUR,"Turkey",ESP,"Spain",17
2018,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",2
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",585
2019,IRQ,"Iraq",TUR,"Turkey",ITA,"Italy",1
2019,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",3
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",ESP,"Spain",319
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",HRV,"Croatia",122
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",PRT,"Portugal",93
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",NLD,"Netherlands",1151
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",FRA,"France",1295
2019,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",FIN,"Finland",3
2019,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",44
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",EST,"Estonia",7
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",21
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",867
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",BEL,"Belgium",215
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",DEU,"Germany",2425
2019,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",38
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",ROU,"Romania",31
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",BGR,"Bulgaria",64
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",ITA,"Italy",14
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",FIN,"Finland",575
2019,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",55
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",479
2019,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",SWE,"Sweden",1
2019,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",498
2019,SYR,"Syrian Arab Rep.",TUR,"Turkey",NZL,"New Zealand",11
2019,IRQ,"Iraq",TUR,"Turkey",PRT,"Portugal",93
